"gren1" "gren2" "gren3" "enet1" "enet2" "enet3"
"combn724" 4 8 4 1 1 0
"combn725" 11 15 8 2 4 4
"combn726" 9 9 10 0 2 1
"combn727" 12 13 9 7 6 4
"combn728" 8 9 7 2 3 2
"combn729" 12 14 9 5 7 6
"combn730" 7 8 4 5 5 4
"combn731" 12 13 9 3 4 4
"combn732" 10 11 9 1 3 2
"combn733" 11 11 8 3 3 3
"combn734" 8 11 9 3 3 3
"combn735" 13 14 6 1 3 4
"combn736" 9 10 8 1 2 1
"combn737" 11 14 10 1 2 2
"combn738" 9 12 7 0 2 2
"combn739" 11 14 10 4 4 5
"combn740" 9 10 8 2 3 3
"combn741" 11 12 11 4 4 3
"combn742" 10 11 8 6 7 3
"combn743" 7 10 10 0 1 3
"combn744" 11 11 9 0 0 3
"combn745" 4 7 5 0 1 1
"combn746" 7 11 6 0 3 1
"combn747" 7 12 7 1 5 1
"combn748" 9 9 5 0 2 2
"combn749" 11 14 11 5 7 6
"combn750" 11 15 11 3 3 4
"combn751" 10 9 8 2 2 1
"combn752" 11 12 7 1 3 3
"combn753" 2 7 7 0 2 1
"combn754" 11 13 7 5 6 3
"combn755" 12 14 11 4 4 3
"combn756" 15 10 9 2 3 5
"combn757" 11 10 4 1 3 1
"combn758" 13 12 7 2 3 4
"combn759" 5 7 6 0 2 1
"combn760" 10 12 11 2 3 1
"combn761" 17 12 8 6 6 2
"combn762" 14 14 13 4 5 3
"combn763" 8 12 7 3 3 3
"combn764" 11 9 7 2 3 4
"combn765" 10 10 11 3 4 2
"combn766" 10 11 8 1 1 1
"combn767" 10 12 9 1 2 0
