"miRNA"	"precursor"	"geomeanM"	"geomeanMN"	"geomeanP"	"geomeanPN"	"medianM"	"medianMN"	"medianP"	"medianPN"	"maxM"	"maxMN"	"maxP"	"maxPN"	"BFDR_MNminPN"	"BFDR_MNminM"	"BFDR_MminP"	"BFDR_PNminP"	"BFDR_MNminPNcorr"	"logfc_MNminPN"	"logfc_MNminM"	"logfc_MminP"	"logfc_PNminP"	"logfc_MNminPNcorr"
"hsa-miR-449b-5p"	"hsa-mir-449b"	1.57	1.74	0.61	0.54	1	1	0.5	0	101	193	146	6	0.00341775708656487	0.14331307870812	0.566930780965361	0.0970767805974305	0.610537312824552	2.48482734716141	0.374895396422095	0.073061668487659	-0.539632050749708	-0.466805798069699
"hsa-miR-449c-5p"	"hsa-mir-449c"	4.28	3.42	3.86	1.11	4	2	3	1	287	173	82	6	0.000174168710227825	0.394419681340247	0.429793060818829	0.000372490351100971	0.662011112537376	2.40113836774396	0.0468549097992211	0.125508349285938	-1.17157778828474	-1.24323234795158
"hsa-miR-450b-5p"	"hsa-mir-450b"	110	132	86.2	50.2	127	273	114	46	684	660	272	134	1.06451062022654e-07	0.0583312554520764	0.708777285099914	8.2524643140636e-05	0.68169805238536	1.46061175576046	0.381412397967701	0.0203069031912436	-0.764959637776673	-1.28942152638622
"hsa-miR-4524a-5p"	"hsa-mir-4524a"	0.37	1.49	0.28	0.46	0	8	0	1	5	23	1	2	4.75591273783666e-07	5.52945529892558e-07	0.690673115005822	0.224633073806322	0.00108985288367826	2.52202097173245	2.8914897550285	-0.0091504746356661	0.228905201920846	-1.76640306400389
"hsa-miR-452-5p"	"hsa-mir-452"	220	150	195	130	246	59	256	137	1453	234	779	243	0.200413316144179	3.19656133453449e-05	0.734962427868494	2.74265010880117e-06	0.727894004341557	-0.146119592841283	-1.08503655772503	-0.0129690115626075	-0.755176985020034	0.18237358500258
"hsa-miR-454-5p"	"hsa-mir-454"	20.6	11.3	20.7	13.8	22	11	21	14	95	18	40	24	0.153177294041912	0.00123386157337467	0.753465107593037	0.00269754387194651	0.14276084659287	-0.149891239983215	-0.770402299916739	0.0034287031521149	-0.406604739658797	0.267163770484219
"hsa-miR-455-5p"	"hsa-mir-455"	207	399	151	175	227	902	216	195	647	1629	806	269	5.66289325406913e-08	1.46831549324767e-06	0.727852373447929	0.13358795591598	0.682213104080529	1.5845342878894	1.10921578159907	0.0146978774751588	-0.18663612234962	-1.53195731738514
"hsa-miR-4639-5p"	"hsa-mir-4639"	0.19	0.0700000000000001	0.0800000000000001	0.0900000000000001	0	0	0	0	4	1	1	1	0.294796100489919	0.18518339537662	0.714006689114382	0.368812991046349	0.292453574231322	-0.176919903174605	-0.424548646501582	0.00148523550191098	-0.0599150013444131	0.387626328002331
"hsa-miR-4640-5p"	"hsa-mir-4640"	0.4	0.27	0.21	0.13	0	0	0	0	7	2	3	1	0.448684414919781	0.0744077792651623	0.572291264948326	0.129992522369005	0.391754242574337	0.0206258542924374	-0.859207704169046	0.0682368457653866	-0.439943986666846	0.169640471482235
"hsa-miR-4649-5p"	"hsa-mir-4649"	0.0900000000000001	0.1	0.04	0.03	0	0	0	0	4	1	2	1	0.427890467657575	0.20664648691394	0.69359434988813	0.188034172556463	0.498032653534241	0.0433715374937128	-0.373775474624207	-0.00958666201896919	-0.367991993531552	0.0190519651184785
